city,attr,city_eng
黑龙江省_佳木斯市,121.1706908,Jiamusi
内蒙古自治区_阿拉善盟,38.71693988,Alxa
内蒙古自治区_锡林郭勒盟,276.9078007,Xilinguole?
内蒙古自治区_兴安盟,48.41234831,Hinggan
湖南省_益阳市,148.1838319,Yiyang
湖南省_张家界市,137.8645326,Zhangjiajie
甘肃省_平凉市,43.43407623,Pingliang
山西省_临汾市,84.75811199,Linfen
河南省_南阳市,162.947851,Nanyang
山东省_日照市,97.53469751,Rizhao
山东省_威海市,133.9617589,Weihai
山东省_临沂市,318.6776997,Linyi
山东省_莱芜市,97.30542738,Laiwu
山东省_聊城市,107.24405349999999,Liaocheng
山东省_德州市,196.5394239,Dezhou
山东省_滨州市,98.78981704,Binzhou
福建省_漳州市,240.18625079999998,Zhangzhou
河南省_濮阳市,140.67373940000002,Puyang
辽宁省_盘锦市,68.45719544,Panjin
辽宁省_朝阳市,147.61237169999998,Chaoyang
四川省_绵阳市,298.1511358,Mianyang
贵州省_安顺市,182.3345745,Anshun
贵州省_贵阳市,389.9139236,Guiyang
贵州省_遵义市,254.8522148,Zunyi
贵州省_六盘水市,116.2623877,Liupanshui
新疆维吾尔自治区_乌鲁木齐市,298.2786831,Urumqi
贵州省_铜仁市,165.6501121,Tongren
贵州省_毕节市,139.6210035,Bijie
广西壮族自治区_北海市,129.430738,Beihai
广西壮族自治区_梧州市,170.6017123,Wuzhou
广西壮族自治区_钦州市,89.84032256,Qinzhou
广西壮族自治区_防城港市,81.80039036,Fangchenggang
广西壮族自治区_南宁市,690.6107486000001,Nanning
广西壮族自治区_桂林市,185.3906266,Guilin
广西壮族自治区_柳州市,167.6102307,Liuzhou
广西壮族自治区_玉林市,256.75312510000003,Yulin
广西壮族自治区_贵港市,236.82647830000002,Guigang
湖南省_湘西土家族苗族自治州,74.48299223,Xiangxi
四川省_资阳市,127.62636979999999,Ziyang
宁夏回族自治区_吴忠市,296.42353760000003,Wuzhong
吉林省_白城市,99.50338315,Baicheng
吉林省_通化市,136.89623730000002,Tonghua
吉林省_白山市,68.68308593,Baishan
吉林省_长春市,897.6183712000001,Changchun
吉林省_吉林市,160.93921519999998,Jilin
吉林省_四平市,275.4737121,Siping
湖北省_黄冈市,213.8379347,Huanggang
湖北省_荆州市,130.6667273,Jingzhou
湖北省_随州市,98.95474899999999,Suizhou
河南省_平顶山市,228.19070019999998,Pingdingshan
西藏自治区_林芝市,123.6869489,Nyingchi
江苏省_扬州市,135.710624,Yangzhou
江苏省_泰州市,224.77962180000003,Taizhou
辽宁省_辽阳市,126.8786098,Liaoyang
辽宁省_葫芦岛市,76.69302679,Huludao
青海省_海西蒙古族藏族自治州,80.16673916,Haixi
青海省_玉树藏族自治州,262.0966329,Yushu
青海省_海南藏族自治州,128.1576158,Hainan
青海省_海东市,109.60177479999999,Haidong
海南省_海口市,201.798877,Haikou
广东省_云浮市,115.70221979999998,Yunfu
广东省_揭阳市,140.0124022,Jieyang
河北省_保定市,583.3423982,Baoding
海南省_省直辖县级行政区划,233.27790380000002,Shengzhixia
山西省_忻州市,170.0497336,Xinzhou
山西省_运城市,95.17600293,Yuncheng
山西省_晋中市,172.5633904,Jinzhong
山西省_朔州市,209.6982447,Shuozhou
山西省_晋城市,62.27025796,Jincheng
山西省_长治市,88.26545912,Changzhi
山西省_阳泉市,38.3802601,Yangquan
四川省_内江市,160.1052615,Neijiang
甘肃省_临夏回族自治州,53.8504581,Linxia
江苏省_无锡市,203.80826169999997,Wuxi
江苏省_南京市,468.2698898,Nanjing
云南省_迪庆藏族自治州,208.3297453,Diqing
云南省_怒江傈僳族自治州,123.5838326,Nujiang
云南省_德宏傣族景颇族自治州,48.07185792,Dehong
云南省_丽江市,152.14173590000001,Lijiang
广西壮族自治区_河池市,292.0310735,Hechi
云南省_普洱市,71.17247914,Pu'er
云南省_保山市,247.14945219999998,Baoshan
云南省_临沧市,107.43716470000001,Lincang
四川省_攀枝花市,146.93997230000002,Panzhihua
四川省_甘孜藏族自治州,101.59467120000001,Ganzi
西藏自治区_昌都市,138.09780669999998,Qamdo
广东省_潮州市,112.20803259999998,Chaozhou
广西壮族自治区_来宾市,80.15009009,Laibin
广西壮族自治区_崇左市,117.8491596,Chongzuo
西藏自治区_山南市,14.47966282,Shannan
广东省_汕尾市,131.1238367,Shanwei
黑龙江省_七台河市,37.07090624,Qitaihe
青海省_海北藏族自治州,63.91591141,Haibei
甘肃省_甘南藏族自治州,34.82179157,Gannan
西藏自治区_那曲地区,50.24410396,Nagqu
西藏自治区_阿里地区,130.9693026,Ngari?
西藏自治区_日喀则市,122.4031711,Shigatse
青海省_黄南藏族自治州,33.31965422,Huangnan
吉林省_辽源市,72.23704102,Liaoyuan
北京市_北京市,976.6994129000001,Beijing
天津市_天津市,360.9583682,Tianjin
重庆市_重庆市,705.8165111000001,Chongqing
上海市_上海市,716.2337761,Shanghai
